plant_id,plant_label,timestamp_hour,generation_ac_kw,generation_dc_kw,ambient_temperature_c,module_temperature_c,irradiation,plant_peak_reference_kw,capacity_factor,hour_sin,hour_cos
4135001,Plant_1,2020-05-15 00:00:00,0.0,0.0,25.012696950000002,22.643083233333332,0.0,27610.891,0.0,0.0,1.0
4136001,Plant_2,2020-05-15 00:00:00,0.0,0.0,26.767054844540233,24.582656410919537,0.0,20427.251,0.0,0.0,1.0
4135001,Plant_1,2020-05-15 01:00:00,0.0,0.0,24.66732843928571,22.41195959404762,0.0,27610.891,0.0,0.25881904510252074,0.9659258262890683
4136001,Plant_2,2020-05-15 01:00:00,0.0,0.0,26.505909301724138,25.172108731034484,0.0,20427.251,0.0,0.25881904510252074,0.9659258262890683
4135001,Plant_1,2020-05-15 02:00:00,0.0,0.0,24.98683673333333,23.51207183333333,0.0,27610.891,0.0,0.49999999999999994,0.8660254037844387
4136001,Plant_2,2020-05-15 02:00:00,0.0,0.0,26.296562410057472,24.55551374827586,0.0,20427.251,0.0,0.49999999999999994,0.8660254037844387
4135001,Plant_1,2020-05-15 03:00:00,0.0,0.0,24.954589040476186,24.126433492857146,0.0,27610.891,0.0,0.7071067811865475,0.7071067811865476
4136001,Plant_2,2020-05-15 03:00:00,0.0,0.0,26.141690533908044,24.627654717241377,0.0,20427.251,0.0,0.7071067811865475,0.7071067811865476
4135001,Plant_1,2020-05-15 04:00:00,0.0,0.0,24.27666985,22.133105999999998,0.0,27610.891,0.0,0.8660254037844386,0.5000000000000001
4136001,Plant_2,2020-05-15 04:00:00,0.0,0.0,25.509472622290637,24.658229773706896,0.0,20427.251,0.0,0.8660254037844386,0.5000000000000001
4135001,Plant_1,2020-05-15 05:00:00,0.0,0.0,24.274983049999996,23.02011823452381,0.000215680310333325,27610.891,0.0,0.9659258262890683,0.25881904510252074
4136001,Plant_2,2020-05-15 05:00:00,0.0,0.0,24.966925581896554,23.906986185919543,0.00070951362625,20427.251,0.0,0.9659258262890683,0.25881904510252074
